date,open,close,high,low,volume,money
2021-01-04,18.95,18.45,18.95,18.3,156643831.0,2891682312.05
2021-01-05,18.26,18.03,18.34,17.66,183567466.0,3284606913.91
2021-01-06,17.94,19.41,19.41,17.86,195016094.0,3648521909.1
2021-01-07,19.37,19.74,19.82,19.08,159664285.0,3111274625.37
2021-01-08,19.74,19.7,19.94,19.16,120487406.0,2348316363.18
2021-01-11,19.84,20.22,20.48,19.84,180453675.0,3652546646.82
2021-01-12,20.23,20.84,20.84,20.02,129829524.0,2657687440.67
2021-01-13,20.84,20.54,20.85,20.24,105736969.0,2161849708.04
2021-01-14,20.52,20.01,20.73,19.79,113904282.0,2306404546.81
2021-01-15,20.84,20.84,21.78,20.66,250019636.0,5311218074.76
2021-01-18,21.03,22.52,22.6,21.03,217426614.0,4792909447.95
2021-01-19,22.33,22.17,22.66,21.88,125185574.0,2790056611.29
2021-01-20,21.98,22.29,22.79,21.95,129086493.0,2889249850.45
2021-01-21,22.32,22.06,22.62,21.98,95220805.0,2114252731.64
2021-01-22,22.06,21.86,22.06,21.34,93170389.0,2025834761.54
2021-01-25,21.55,22.31,22.42,21.26,103645202.0,2269032820.67
2021-01-26,22.13,22.2,23.14,22.13,113558074.0,2558575511.97
2021-01-27,22.14,22.9,23.29,22.14,130432954.0,2976800955.73
2021-01-28,22.6,22.63,23.0,22.27,86421990.0,1948881146.95
2021-01-29,22.63,22.91,23.36,22.53,125001142.0,2864101419.33
2021-02-01,22.82,24.36,24.8,22.52,148684013.0,3529556986.77
